"Code","State","Sector","Obs","Employment","Members","Covered","PctMem","PctCov","Year"
63,"Alabama","Private",2075,1092139,167026,186044,15.3,17,1983
63,"Alabama","Public",492,260611,61151,82130,23.5,31.5,1983
63,"Alabama","Priv. Construction",129,68036,14833,15579,21.8,22.9,1983
63,"Alabama","Priv. Manufacturing",665,348767,90308,100214,25.9,28.7,1983
94,"Alaska","Private",1805,115455,19920,22970,17.3,19.9,1983
94,"Alaska","Public",827,52480,21822,26214,41.6,49.9,1983
94,"Alaska","Priv. Construction",201,12764,3967,4508,31.1,35.5,1983
94,"Alaska","Priv. Manufacturing",155,10229,2384,2694,23.3,26.3,1983
86,"Arizona","Private",1812,914238,79001,97869,8.6,10.7,1983
86,"Arizona","Public",387,177494,45960,58542,25.9,33,1983
86,"Arizona","Priv. Construction",120,63498,16007,17572,25.2,27.7,1983
86,"Arizona","Priv. Manufacturing",301,157796,12350,16512,7.8,10.5,1983
71,"Arkansas","Private",1597,609682,62433,76159,10.2,12.5,1983
71,"Arkansas","Public",370,138663,19789,27022,14.3,19.5,1983
71,"Arkansas","Priv. Construction",73,26873,5334,5334,19.8,19.8,1983
71,"Arkansas","Priv. Manufacturing",513,188638,35326,45545,18.7,24.1,1983
93,"California","Private",12661,8066842,1423979,1590663,17.7,19.7,1983
93,"California","Public",2538,1599375,694906,914496,43.4,57.2,1983
93,"California","Priv. Construction",616,398031,156189,164233,39.2,41.3,1983
93,"California","Priv. Manufacturing",3170,2013168,421889,472106,21,23.5,1983
84,"Colorado","Private",2691,1070075,120298,133002,11.2,12.4,1983
84,"Colorado","Public",592,238890,57592,76548,24.1,32,1983
84,"Colorado","Priv. Construction",228,90000,17318,18235,19.2,20.3,1983
84,"Colorado","Priv. Manufacturing",458,180804,23605,27061,13.1,15,1983
16,"Connecticut","Private",1984,1200528,199956,223172,16.7,18.6,1983
16,"Connecticut","Public",308,181396,114058,121943,62.9,67.2,1983
16,"Connecticut","Priv. Construction",94,56179,20863,21403,37.1,38.1,1983
16,"Connecticut","Priv. Manufacturing",663,392436,110157,122050,28.1,31.1,1983
51,"Delaware","Private",1517,205069,32646,34662,15.9,16.9,1983
51,"Delaware","Public",289,39716,16542,19453,41.6,49,1983
51,"Delaware","Priv. Construction",111,15164,5038,5038,33.2,33.2,1983
51,"Delaware","Priv. Manufacturing",473,64174,17550,18127,27.3,28.2,1983
53,"D.C.","Private",1027,162116,24682,32237,15.2,19.9,1983
53,"D.C.","Public",680,106211,27671,37144,26.1,35,1983
53,"D.C.","Priv. Construction",43,6804,1393,2189,20.5,32.2,1983
53,"D.C.","Priv. Manufacturing",46,7175,1266,1592,17.6,22.2,1983
59,"Florida","Private",4592,3252153,229813,295335,7.1,9.1,1983
59,"Florida","Public",851,599030,163936,237517,27.4,39.7,1983
59,"Florida","Priv. Construction",328,247994,38669,47231,15.6,19.1,1983
59,"Florida","Priv. Manufacturing",697,489567,55446,67795,11.3,13.9,1983
58,"Georgia","Private",2871,1830469,202352,256489,11.1,14,1983
58,"Georgia","Public",655,420554,64689,88587,15.4,21.1,1983
58,"Georgia","Priv. Construction",182,114657,20567,21303,17.9,18.6,1983
58,"Georgia","Priv. Manufacturing",830,517727,87419,107094,16.9,20.7,1983
95,"Hawaii","Private",1544,290449,63601,68806,21.9,23.7,1983
95,"Hawaii","Public",501,94976,48964,56114,51.6,59.3,1983
95,"Hawaii","Priv. Construction",89,15723,10204,10204,64.9,64.9,1983
95,"Hawaii","Priv. Manufacturing",136,24787,8815,9766,35.6,39.4,1983
82,"Idaho","Private",1576,262091,27034,33208,10.3,12.7,1983
82,"Idaho","Public",414,69602,14278,20503,20.5,29.5,1983
82,"Idaho","Priv. Construction",88,15834,2876,3043,18.2,19.2,1983
82,"Idaho","Priv. Manufacturing",296,48834,9298,11013,19,22.6,1983
33,"Illinois","Private",5511,3695193,795770,866300,21.5,23.4,1983
33,"Illinois","Public",1030,698459,267984,338780,38.4,48.5,1983
33,"Illinois","Priv. Construction",233,160251,88479,91308,55.2,57,1983
33,"Illinois","Priv. Manufacturing",1604,1079988,349423,380308,32.4,35.2,1983
32,"Indiana","Private",2790,1707804,427285,445908,25,26.1,1983
32,"Indiana","Public",517,311314,76018,98589,24.4,31.7,1983
32,"Indiana","Priv. Construction",97,59894,25357,26512,42.3,44.3,1983
32,"Indiana","Priv. Manufacturing",1014,610142,297095,305288,48.7,50,1983
42,"Iowa","Private",2063,841401,123216,144096,14.6,17.1,1983
42,"Iowa","Public",610,236854,62657,87251,26.5,36.8,1983
42,"Iowa","Priv. Construction",92,37655,7145,8574,19,22.8,1983
42,"Iowa","Priv. Manufacturing",525,211555,85196,93515,40.3,44.2,1983
47,"Kansas","Private",1692,735719,89919,112391,12.2,15.3,1983
47,"Kansas","Public",441,175269,35298,57972,20.1,33.1,1983
47,"Kansas","Priv. Construction",78,34391,5989,6976,17.4,20.3,1983
47,"Kansas","Priv. Manufacturing",396,180618,46026,62375,25.5,34.6,1983
61,"Kentucky","Private",1808,1011863,184077,201085,18.2,19.9,1983
61,"Kentucky","Public",429,237573,39638,58721,16.7,24.7,1983
61,"Kentucky","Priv. Construction",92,54713,12481,13530,22.8,24.7,1983
61,"Kentucky","Priv. Manufacturing",511,281600,105352,109164,37.4,38.8,1983
72,"Louisiana","Private",1749,1146989,125823,149423,11,13,1983
72,"Louisiana","Public",515,333085,78385,118352,23.5,35.5,1983
72,"Louisiana","Priv. Construction",193,125872,37562,41764,29.8,33.2,1983
72,"Louisiana","Priv. Manufacturing",277,180047,44829,50767,24.9,28.2,1983
11,"Maine","Private",1804,339059,48179,53137,14.2,15.7,1983
11,"Maine","Public",404,79211,39811,47272,50.3,59.7,1983
11,"Maine","Priv. Construction",85,16918,2207,2420,13,14.3,1983
11,"Maine","Priv. Manufacturing",670,121360,30077,30814,24.8,25.4,1983
52,"Maryland","Private",2487,1365035,196109,222074,14.4,16.3,1983
52,"Maryland","Public",920,503045,150382,200990,29.9,40,1983
52,"Maryland","Priv. Construction",185,99572,15883,16480,16,16.6,1983
52,"Maryland","Priv. Manufacturing",438,242663,70962,79911,29.2,32.9,1983
14,"Massachusetts","Private",3974,2173542,381474,421248,17.6,19.4,1983
14,"Massachusetts","Public",685,367078,221713,240162,60.4,65.4,1983
14,"Massachusetts","Priv. Construction",186,102397,36991,38018,36.1,37.1,1983
14,"Massachusetts","Priv. Manufacturing",1247,678248,180975,199293,26.7,29.4,1983
34,"Michigan","Private",4692,2773152,702208,758261,25.3,27.3,1983
34,"Michigan","Public",915,533646,303238,326370,56.8,61.2,1983
34,"Michigan","Priv. Construction",163,93001,35112,36712,37.8,39.5,1983
34,"Michigan","Priv. Manufacturing",1635,968847,447168,472759,46.2,48.8,1983
41,"Minnesota","Private",2721,1395648,238596,262596,17.1,18.8,1983
41,"Minnesota","Public",609,302302,155348,176844,51.4,58.5,1983
41,"Minnesota","Priv. Construction",129,61798,27220,27220,44,44,1983
41,"Minnesota","Priv. Manufacturing",675,347873,77573,84879,22.3,24.4,1983
64,"Mississippi","Private",1662,630204,56961,66610,9,10.6,1983
64,"Mississippi","Public",450,169590,22390,33075,13.2,19.5,1983
64,"Mississippi","Priv. Construction",126,49467,4986,7023,10.1,14.2,1983
64,"Mississippi","Priv. Manufacturing",506,196731,37155,41076,18.9,20.9,1983
43,"Missouri","Private",2517,1469410,316242,339739,21.5,23.1,1983
43,"Missouri","Public",569,328833,58202,76931,17.7,23.4,1983
43,"Missouri","Priv. Construction",120,69627,29528,30613,42.4,44,1983
43,"Missouri","Priv. Manufacturing",690,394042,144398,151230,36.6,38.4,1983
81,"Montana","Private",1578,208621,30917,33519,14.8,16.1,1983
81,"Montana","Public",506,61737,18599,21971,30.1,35.7,1983
81,"Montana","Priv. Construction",99,13987,3279,3312,23.4,23.7,1983
81,"Montana","Priv. Manufacturing",177,23833,7860,7860,33,33,1983
46,"Nebraska","Private",1814,474610,46259,51965,9.7,10.9,1983
46,"Nebraska","Public",459,118752,34382,42881,29,36.1,1983
46,"Nebraska","Priv. Construction",95,25203,3256,3535,12.9,14,1983
46,"Nebraska","Priv. Manufacturing",293,76802,14648,17521,19.1,22.8,1983
88,"Nevada","Private",1692,342495,67118,75969,19.6,22.2,1983
88,"Nevada","Public",291,58546,22834,30780,39,52.6,1983
88,"Nevada","Priv. Construction",95,18987,8797,8955,46.3,47.2,1983
88,"Nevada","Priv. Manufacturing",90,18733,2024,2414,10.8,12.9,1983
12,"New Hampshire","Private",1670,364170,27313,31619,7.5,8.7,1983
12,"New Hampshire","Public",284,59244,21227,29197,35.8,49.3,1983
12,"New Hampshire","Priv. Construction",93,19504,3956,4354,20.3,22.3,1983
12,"New Hampshire","Priv. Manufacturing",577,124957,13185,14774,10.6,11.8,1983
22,"New Jersey","Private",4156,2553873,539757,592036,21.1,23.2,1983
22,"New Jersey","Public",838,506354,282348,326153,55.8,64.4,1983
22,"New Jersey","Priv. Construction",209,130661,44751,48311,34.2,37,1983
22,"New Jersey","Priv. Manufacturing",1211,739155,231981,249180,31.4,33.7,1983
85,"New Mexico","Private",1364,308648,31154,36473,10.1,11.8,1983
85,"New Mexico","Public",594,137060,21403,34142,15.6,25,1983
85,"New Mexico","Priv. Construction",118,25402,4797,5681,18.9,22.5,1983
85,"New Mexico","Priv. Manufacturing",151,32823,3896,4630,11.9,14.1,1983
21,"New York","Private",8387,5376480,1290869,1436252,24,26.7,1983
21,"New York","Public",1958,1248493,864755,949695,69.3,76.1,1983
